scenario_id,system_type,run_id,random_seed,t_start_sec,t_end_sec,t_execution_sec,tasks_completed,cpu_mean_pct,cpu_min_pct,cpu_max_pct,cpu_std_pct,mem_mean_pct,mem_min_pct,mem_max_pct,mem_std_pct,total_core_seconds,efficiency_tasks_per_core_sec,adaptation_overhead_sec,adaptation_events_count,s3_detection_delay_sec,s3_adaptation_initiation_sec,s3_stabilization_time_sec,param_alpha,param_beta,param_gamma,param_initial_cores
S3,SAMCS,4,1004,0,89.3,89.3,4008,38.82,7.77,80.97,19.23,15.49,11.05,20.92,3.5,304,1318.4211,9.3,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,5,1005,0,82,82,4067,28.78,7.15,56.5,14.53,15.68,10.99,21.14,3.58,328,1239.939,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,5,1005,0,91.33,91.33,4067,37.62,9.4,82.1,18.26,15.68,10.99,21.14,3.58,332,1225,9.33,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,6,1006,0,80,80,4016,28.61,5.05,57.68,14.85,15.56,10.59,20.82,3.5,320,1255,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,6,1006,0,89.3,89.3,4016,38.68,10.34,85.47,18.65,15.56,10.59,20.82,3.5,304,1321.0526,9.3,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,7,1007,0,81,81,4074,28.74,6.9,58.84,15.51,15.52,10.98,21.17,3.56,324,1257.4074,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,7,1007,0,90.315,90.315,4074,37.98,9.74,82.68,18.25,15.52,10.98,21.24,3.56,318,1281.1321,9.315,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,8,1008,0,80,80,4069,28.95,5,60.39,15.5,15.53,10.91,21.13,3.47,320,1271.5625,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,8,1008,0,89.3,89.3,4069,38.86,10.69,84.02,19.48,15.53,10.91,21.13,3.47,304,1338.4868,9.3,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,9,1009,0,81,81,4020,28.52,5.8,56.38,14.72,15.6,11.06,20.95,3.53,324,1240.7407,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,9,1009,0,90.315,90.315,4020,37.6,13.69,82.95,17.18,15.6,11.06,21.02,3.53,318,1264.1509,9.315,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,10,1010,0,80,80,4009,29.25,7.69,57.1,15.34,15.5,11.1,20.77,3.47,320,1252.8125,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,10,1010,0,89.3,89.3,4009,39.32,13.69,86.53,18.92,15.5,11.1,20.82,3.47,304,1318.75,9.3,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,11,1011,0,80,80,4010,28.66,7.88,57.92,14.84,15.51,10.87,21.03,3.49,320,1253.125,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,11,1011,0,89.3,89.3,4010,38.73,9.85,76.89,18.74,15.51,10.87,21.03,3.49,306,1310.4575,9.3,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,12,1012,0,81,81,4081,28.53,5,56.55,15,15.63,11.01,20.98,3.52,324,1259.5679,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,12,1012,0,90.315,90.315,4081,38.22,10.11,79.35,18.83,15.63,11.01,20.98,3.52,318,1283.3333,9.315,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,13,1013,0,80,80,4022,28.7,6.78,56.88,14.96,15.46,10.74,20.88,3.53,320,1256.875,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,13,1013,0,89.3,89.3,4022,38.53,11.84,82.37,18.4,15.47,10.74,20.9,3.53,304,1323.0263,9.3,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,14,1014,0,80,80,4000,28.98,9.71,56.28,14.52,15.5,11,20.98,3.41,320,1250,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,14,1014,0,89.3,89.3,4000,39.07,11.94,82.79,17.01,15.5,11,20.98,3.41,304,1315.7895,9.3,7,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,15,1015,0,79,79,4001,29.02,5,64.31,15.87,15.49,11.15,21,3.48,316,1266.1392,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,15,1015,0,88.285,88.285,4001,39.73,12.61,83.41,18.61,15.5,11.15,21,3.48,290,1379.6552,9.285,7,0,0,6,0.45,0.35,0.2,4
